지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
401,2022-01-01 00:00,-6.7,308.3,1.1,0,,,,5.44,5.6
401,2022-01-01 01:00,-7.3,185.2,.7,0,,,,.01,0
401,2022-01-01 02:00,-8.2,229.7,.8,0,,,,.01,0
401,2022-01-01 03:00,-9.7,169.5,.8,0,,,,.02,0
401,2022-01-01 04:00,-10,162.7,1.1,0,,,,.02,0
401,2022-01-01 05:00,-10.2,170.3,1.2,0,,,,.03,0
401,2022-01-01 06:00,-10.8,168.4,.9,0,,,,.02,0
401,2022-01-01 07:00,-10.4,162.2,1,0,,,,.04,0
401,2022-01-01 08:00,-9.7,161.9,1.2,0,,,,.06,.3
401,2022-01-01 09:00,-7.3,155.8,1.3,0,,,,.31,1
401,2022-01-01 10:00,-5.4,139.7,1.3,0,,,,.7,1.3
401,2022-01-01 11:00,-3.9,160.9,1.4,0,,,,1.86,2
401,2022-01-01 12:00,-2.3,148.2,1.3,0,,,,2.54,2.3
401,2022-01-01 13:00,.2,82.2,.8,0,,,,3.9,3
401,2022-01-01 14:00,0,281.3,1.5,0,,,,4.46,3.3
401,2022-01-01 15:00,.2,309.6,1.3,0,,,,5.49,4
401,2022-01-01 16:00,1,160.5,1.2,0,,,,5.56,4.3
401,2022-01-01 17:00,.1,140.9,.6,0,,,,-5.56,-4.3
401,2022-01-01 18:00,-1.2,169.7,.9,0,,,,5.56,4.3
401,2022-01-01 19:00,-1.6,138,.6,0,,,,-5.56,-4.3
401,2022-01-01 20:00,-2.4,132.4,.8,0,,,,17.35,13
401,2022-01-01 21:00,-2.6,154.5,.7,0,,,,-5.56,-4.3
401,2022-01-01 22:00,-2.5,162,.6,0,,,,17.35,13
401,2022-01-01 23:00,-2.5,149,.9,0,,,,-5.56,-4.3
401,2022-01-02 00:00,-3.2,135.8,1.3,0,,,,17.35,13
401,2022-01-02 01:00,-2.2,153.1,1.5,0,,,,0,0
401,2022-01-02 02:00,-1.9,157.1,1.1,0,,,,.01,0
401,2022-01-02 03:00,-1.5,121.2,1.7,0,,,,0,0
401,2022-01-02 04:00,-1.5,127.4,.9,0,,,,.01,0
401,2022-01-02 05:00,-1.3,116.9,1.5,0,,,,.01,0
401,2022-01-02 06:00,-.9,120.4,.5,0,,,,.02,0
401,2022-01-02 07:00,-1.5,0,.1,0,,,,.02,0
401,2022-01-02 08:00,-1.6,143.3,.6,0,,,,.05,.2
401,2022-01-02 09:00,-1.1,0,.2,0,,,,.25,.5
401,2022-01-02 10:00,.3,279,.6,0,,,,.34,1.2
401,2022-01-02 11:00,.6,309.7,2.3,0,,,,1.29,1.5
401,2022-01-02 12:00,.6,316.8,2.3,0,,,,1.88,1.9
401,2022-01-02 13:00,1.8,305.3,2.6,0,,,,3.2,2.5
401,2022-01-02 14:00,2.2,305.8,3.2,0,,,,2.77,2.9
401,2022-01-02 15:00,2.9,310.5,3.1,0,,,,4.8,3.5
401,2022-01-02 16:00,2.6,316.2,2.5,0,,,,4.23,3.9
401,2022-01-02 17:00,1.3,315,3.6,0,,,,5.61,4.3
401,2022-01-02 18:00,.4,310.2,3.4,0,,,,4.46,3.9
401,2022-01-02 19:00,-.3,307.9,2.5,0,,,,5.62,1.9
401,2022-01-02 20:00,-1.2,302.3,1.2,0,,,,-5.62,-1.9
401,2022-01-02 21:00,-2,324.3,1.3,0,,,,5.62,1.9
401,2022-01-02 22:00,-2.1,314.3,1.4,0,,,,-5.62,-1.9
