지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
402,2022-01-01 00:00,-7.7,23.7,2.2,0,,,33.7,0,0
402,2022-01-01 01:00,-8.3,106.4,.9,0,,,38,0,0
402,2022-01-01 02:00,-8.7,99,1.1,0,,,44.3,0,0
402,2022-01-01 03:00,-8.8,118.6,.8,0,,,41.1,0,0
402,2022-01-01 04:00,-9.8,52.9,.5,0,,,55,0,0
402,2022-01-01 05:00,-10.1,25.6,1.2,0,,,58.8,0,0
402,2022-01-01 06:00,-10.3,99.6,1.5,0,,,59.3,0,0
402,2022-01-01 07:00,-10.5,106.3,1.2,0,,,58.2,0,0
402,2022-01-01 08:00,-11,25.3,1,0,,,65.2,0,0
402,2022-01-01 09:00,-9.1,13.8,1.6,0,,,55.6,0,0
402,2022-01-01 10:00,-6.9,96.3,1.4,0,,,41.3,0,0
402,2022-01-01 11:00,-4.6,12.2,.6,0,,,38.1,0,0
402,2022-01-01 12:00,-2.8,228,.7,0,,,30.6,0,0
402,2022-01-01 13:00,-1.5,68.9,1,0,,,27.4,0,0
402,2022-01-01 14:00,-.7,116.7,1.2,0,,,27.8,0,0
402,2022-01-01 15:00,0,38.5,.9,0,,,30.7,0,0
402,2022-01-01 16:00,.8,126.4,1.1,0,,,31.1,0,0
402,2022-01-01 17:00,-.2,50.5,.5,0,,,36.6,0,0
402,2022-01-01 18:00,-.4,137.5,.5,0,,,36.5,0,0
402,2022-01-01 19:00,-1.3,0,.3,0,,,43.9,0,0
402,2022-01-01 20:00,-1.2,115.7,.5,0,,,42.6,0,0
402,2022-01-01 21:00,-3,16.1,2,0,,,60,0,0
402,2022-01-01 22:00,-2.6,1,.7,0,,,53,0,0
402,2022-01-01 23:00,-2.7,0,.4,0,,,54,0,0
402,2022-01-02 00:00,-2.9,45.4,.6,0,,,56.1,0,0
402,2022-01-02 01:00,-3.7,.9,1.3,0,,,61.4,0,0
402,2022-01-02 02:00,-2.6,101.9,.9,0,,,49.3,0,0
402,2022-01-02 03:00,-2.6,89.9,.8,0,,,52.2,0,0
402,2022-01-02 04:00,-2.2,19.7,.6,0,,,52.2,0,0
402,2022-01-02 05:00,-1.8,83.6,.5,0,,,49.8,0,0
402,2022-01-02 06:00,-2.1,7,.6,0,,,54.9,0,0
402,2022-01-02 07:00,-3,14.6,.8,0,,,75.3,0,0
402,2022-01-02 08:00,-3.4,3.1,2,0,,,81.2,0,0
402,2022-01-02 09:00,-2.4,119.6,1.1,0,,,77.3,0,0
402,2022-01-02 10:00,-1.5,119.4,.9,0,,,74.3,0,0
402,2022-01-02 11:00,.7,231,1.1,0,,,69.7,0,0
402,2022-01-02 12:00,2.2,245.1,2.2,0,,,66.7,0,0
402,2022-01-02 13:00,3.3,251.6,1.8,0,,,56.4,0,0
402,2022-01-02 14:00,3.7,254.8,1.7,0,,,41.7,0,0
402,2022-01-02 15:00,3.8,287.2,1.6,0,,,40,0,0
402,2022-01-02 16:00,3.5,297.2,1.3,0,,,40.1,0,0
402,2022-01-02 17:00,1.6,279,1.4,0,,,41.2,0,0
402,2022-01-02 18:00,.2,347.3,1,0,,,46.6,0,0
402,2022-01-02 19:00,-.4,321.2,.7,0,,,38.5,0,0
402,2022-01-02 20:00,-1.3,0,.4,0,,,41.5,0,0
402,2022-01-02 21:00,-1.6,308.3,.7,0,,,40.5,0,0
402,2022-01-02 22:00,-2.2,0,.3,0,,,44.4,0,0
402,2022-01-02 23:00,-2.9,0,.4,0,,,48.9,0,0
402,2022-01-03 00:00,-3.7,0,.3,0,,,49.2,0,0
402,2022-01-03 01:00,-4.2,15.8,1,0,,,45.8,0,0
402,2022-01-03 02:00,-4.8,6.7,1.7,0,,,45,0,0
402,2022-01-03 03:00,-5.6,.7,2,0,,,49.7,0,0
402,2022-01-03 04:00,-6.3,24.4,.7,0,,,53.1,0,0
402,2022-01-03 05:00,-6.7,105.3,1.2,0,,,54.9,0,0
402,2022-01-03 06:00,-6.9,96.7,.9,0,,,55.5,0,0
402,2022-01-03 07:00,-7.8,359.6,1.5,0,,,66.8,0,0
402,2022-01-03 08:00,-8,23.2,1.1,0,,,69.6,0,0
402,2022-01-03 09:00,-6.6,117.2,1.7,0,,,64.8,0,0
402,2022-01-03 10:00,-4.1,90.3,.5,0,,,53.1,0,0
402,2022-01-03 11:00,-2.4,102.5,.9,0,,,42,0,0
402,2022-01-03 12:00,-.5,47.8,.6,0,,,33.3,0,0
402,2022-01-03 13:00,1.3,221.7,1.9,0,,,37.1,0,0
402,2022-01-03 14:00,2.3,160.1,.8,0,,,38.1,0,0
402,2022-01-03 15:00,2.8,260.8,1.5,0,,,45.1,0,0
402,2022-01-03 16:00,2.2,261.8,1.5,0,,,48.2,0,0
402,2022-01-03 17:00,1.6,251.5,1.5,0,,,49.7,0,0
402,2022-01-03 18:00,1.4,270.5,.8,0,,,55.9,0,0
402,2022-01-03 19:00,1.7,260.3,1.5,0,,,59.2,0,0
402,2022-01-03 20:00,1.8,246.5,1.6,0,,,63,0,0
402,2022-01-03 21:00,1.5,244.7,2.5,0,,,69.3,0,0
402,2022-01-03 22:00,1.2,233.1,1.7,0,,,72.7,0,0
402,2022-01-03 23:00,1.1,246.1,1.8,0,,,72.5,0,0
402,2022-01-04 00:00,.7,13.9,1.4,0,,,74.8,0,0
402,2022-01-04 01:00,1.3,0,.4,0,,,77.1,0,0
402,2022-01-04 02:00,.8,54.3,1,0,,,74.1,0,0
402,2022-01-04 03:00,-.7,4.3,1.8,0,,,51.1,0,0
402,2022-01-04 04:00,-1.6,38,1.3,0,,,52.9,0,0
402,2022-01-04 05:00,-2.2,80.6,.7,0,,,57,0,0
402,2022-01-04 06:00,-2.6,101.5,1.1,0,,,59.4,0,0
402,2022-01-04 07:00,-3.1,18.2,2.4,0,,,62.3,0,0
402,2022-01-04 08:00,-3.6,17.9,1.6,0,,,63.3,0,0
402,2022-01-04 09:00,-2.5,9.4,1.8,0,,,45.2,0,0
402,2022-01-04 10:00,-1.5,27.3,2,0,,,38,0,0
402,2022-01-04 11:00,-.5,16.6,2.6,0,,,31.2,0,0
402,2022-01-04 12:00,.8,165.7,1,0,,,35.3,0,0
402,2022-01-04 13:00,1.1,238.4,2.2,0,,,37,0,0
402,2022-01-04 14:00,1.2,222.4,3,0,,,36.3,0,0
402,2022-01-04 15:00,1.5,239.1,2.7,0,,,32.6,0,0
