지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
406,2022-01-01 00:00,-10.4,322.6,.8,0,,,56.1,18.61,12.4
406,2022-01-01 01:00,-10.8,0,.4,0,,,58.8,0,0
406,2022-01-01 02:00,-11.1,243.7,.6,0,,,62.4,0,0
406,2022-01-01 03:00,-11.4,0,.2,0,,,60.9,0,0
406,2022-01-01 04:00,-11.7,337.7,.5,0,,,62.5,0,0
406,2022-01-01 05:00,-12,0,.4,0,,,62.7,0,0
406,2022-01-01 06:00,-12.2,0,.3,0,,,64.6,0,0
406,2022-01-01 07:00,-12.3,0,.3,0,,,65,0,0
406,2022-01-01 08:00,-12.4,261.4,.5,0,,,67.1,0,.1
406,2022-01-01 09:00,-11.1,33.6,1.2,0,,,65.2,.43,1
406,2022-01-01 10:00,-7.2,131.9,.5,0,,,45.3,1.07,1
406,2022-01-01 11:00,-5.2,179.8,1,0,,,41.4,2.1,2
406,2022-01-01 12:00,-2.2,148.3,1,0,,,35.1,2.93,2
406,2022-01-01 13:00,.4,176.3,1.5,0,,,31.8,4.08,3
406,2022-01-01 14:00,2.6,160.6,1.3,0,,,30.7,4.6,3
406,2022-01-01 15:00,4.3,148.8,1.2,0,,,30.7,5.21,4
406,2022-01-01 16:00,2.6,190.2,.9,0,,,33.8,5.79,4
406,2022-01-01 17:00,-.3,285.1,1.1,0,,,44.8,-5.79,-4
406,2022-01-01 18:00,-2.7,0,.2,0,,,55.3,5.79,4
406,2022-01-01 19:00,-2.8,0,.2,0,,,60.1,6.53,4.4
406,2022-01-01 20:00,-3.2,295.1,.7,0,,,59.8,5.79,4
406,2022-01-01 21:00,-4.3,0,.4,0,,,63.2,6.53,4.4
406,2022-01-01 22:00,-4.4,301.8,.6,0,,,65.4,5.79,4
406,2022-01-01 23:00,-4.7,230.9,.6,0,,,68.3,6.53,4.4
406,2022-01-02 00:00,-4.8,227,.5,0,,,69.1,5.79,4
406,2022-01-02 01:00,-4.9,311.4,.6,0,,,70.1,0,0
406,2022-01-02 02:00,-4.3,239.4,.9,0,,,69.6,0,0
406,2022-01-02 03:00,-3,204.5,.6,0,,,64.6,0,0
406,2022-01-02 04:00,-2.6,0,.3,0,,,61.8,0,0
406,2022-01-02 05:00,-2.4,354.7,.7,0,,,64,0,0
406,2022-01-02 06:00,-2,0,.4,0,,,64.2,0,0
406,2022-01-02 07:00,-1.8,193.3,.9,0,,,76.5,0,0
406,2022-01-02 08:00,-1.8,0,.4,0,,,78.8,0,0
406,2022-01-02 09:00,-1.6,19.9,.7,0,,,77.2,.15,.7
406,2022-01-02 10:00,-1.1,0,.3,0,,,73.4,.59,1
406,2022-01-02 11:00,.7,326,1.9,0,,,76,1.1,1.7
406,2022-01-02 12:00,2.2,268.7,1.9,0,,,67.8,2.2,2
406,2022-01-02 13:00,3.6,278.8,2.2,0,,,58,2.99,2.3
406,2022-01-02 14:00,4.5,261,1.3,0,,,47.3,4.18,2.5
406,2022-01-02 15:00,5.1,254.6,1.5,0,,,45.3,4.76,3.1
406,2022-01-02 16:00,3.3,286,2.3,0,,,39.6,5.62,3.5
406,2022-01-02 17:00,1.3,283.9,.9,0,,,48,5.63,3.3
406,2022-01-02 18:00,-1.7,284.8,1.6,0,,,54.4,5.89,3.5
406,2022-01-02 19:00,-2,227,1.2,0,,,52.7,5.63,.6
406,2022-01-02 20:00,-3.1,226.6,1,0,,,58.3,-5.63,-.6
406,2022-01-02 21:00,-3.4,270.6,1.4,0,,,55.3,5.63,.6
