지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
421,2022-01-01 00:00,-4.8,313.7,1.5,0,,,30.9,0,0
421,2022-01-01 01:00,-4.8,254.6,.9,0,,,32.6,0,0
421,2022-01-01 02:00,-4.8,256.2,1,0,,,35.2,0,0
421,2022-01-01 03:00,-5.2,227,1.1,0,,,35.9,0,0
421,2022-01-01 04:00,-5.2,106.4,1.9,0,,,40.8,0,0
421,2022-01-01 05:00,-5.5,44.2,1.2,0,,,41.8,0,0
421,2022-01-01 06:00,-5.7,48.7,1.2,0,,,41.9,0,0
421,2022-01-01 07:00,-6.1,32.3,1,0,,,44.4,0,0
421,2022-01-01 08:00,-6.3,34.5,1.4,0,,,41.8,0,0
421,2022-01-01 09:00,-5.8,23.9,1.8,0,,,41.3,0,0
421,2022-01-01 10:00,-3.4,19.2,1,0,,,38.7,0,0
421,2022-01-01 11:00,-2.9,162.6,1.6,0,,,39,0,0
421,2022-01-01 12:00,-1.7,106.8,1,0,,,31.1,0,0
421,2022-01-01 13:00,0,206.6,1,0,,,29.3,0,0
421,2022-01-01 14:00,1.5,158.9,1.7,0,,,30.4,0,0
421,2022-01-01 15:00,1.9,213.9,1.3,0,,,32.5,0,0
421,2022-01-01 16:00,1.9,189,1.5,0,,,32.5,0,0
421,2022-01-01 17:00,2.1,208.1,.8,0,,,33.9,0,0
421,2022-01-01 18:00,1.8,59.8,.7,0,,,36.9,0,0
421,2022-01-01 19:00,2.1,137.2,.8,0,,,37.5,0,0
421,2022-01-01 20:00,1.7,134.8,1.1,0,,,39.5,0,0
421,2022-01-01 21:00,1.3,90.5,.9,0,,,45.7,0,0
421,2022-01-01 22:00,1,123.8,.8,0,,,50.7,0,0
421,2022-01-01 23:00,1.1,132.8,.8,0,,,47.4,0,0
421,2022-01-02 00:00,.6,135.7,1.4,0,,,50.3,0,0
421,2022-01-02 01:00,.5,103.1,1.7,0,,,50.3,0,0
421,2022-01-02 02:00,.6,110.1,1,0,,,49.2,0,0
421,2022-01-02 03:00,.8,103.3,.9,0,,,47.2,0,0
421,2022-01-02 04:00,.6,104.3,1.3,0,,,49.9,0,0
421,2022-01-02 05:00,.8,143.5,.8,0,,,49.2,0,0
421,2022-01-02 06:00,.6,72.5,.9,0,,,57.1,0,0
421,2022-01-02 07:00,-.6,158.8,.7,0,,,78.8,0,0
421,2022-01-02 08:00,-.3,27,1.2,0,,,85.3,0,0
421,2022-01-02 09:00,.7,0,.3,0,,,81.2,0,0
421,2022-01-02 10:00,1.5,188.4,1,0,,,77.1,0,0
421,2022-01-02 11:00,2.4,292.6,3,0,,,75.8,0,0
421,2022-01-02 12:00,2.8,269.5,2.9,0,,,72.6,0,0
421,2022-01-02 13:00,3.3,344.3,2.8,0,,,61.6,0,0
421,2022-01-02 14:00,4.4,255.1,4.5,0,,,53.6,0,0
421,2022-01-02 15:00,4.3,295.2,3.2,0,,,41.6,0,0
421,2022-01-02 16:00,4.3,253.5,2.3,0,,,42.9,0,0
421,2022-01-02 17:00,3.3,247.5,3.1,0,,,44,0,0
421,2022-01-02 18:00,1.9,253.2,1,0,,,42.4,0,0
421,2022-01-02 19:00,1,223.3,1.4,0,,,37.9,0,0
421,2022-01-02 20:00,.9,272.1,2.4,0,,,38.7,0,0
421,2022-01-02 21:00,.1,311.6,1.4,0,,,43.8,0,0
421,2022-01-02 22:00,-.5,191.1,1,0,,,44.8,0,0
421,2022-01-02 23:00,-1.2,217.3,1.6,0,,,44.4,0,0
421,2022-01-03 00:00,-1.5,244.5,1,0,,,42.7,0,0
421,2022-01-03 01:00,-1.7,234.2,1,0,,,45.9,0,0
421,2022-01-03 02:00,-2.3,221.1,1.2,0,,,47.8,0,0
421,2022-01-03 03:00,-2.1,24.8,2.4,0,,,34.9,0,0
421,2022-01-03 04:00,-2.6,27.6,1.6,0,,,39.9,0,0
421,2022-01-03 05:00,-2.9,16.1,1.7,0,,,38.6,0,0
421,2022-01-03 06:00,-3.1,48.8,.8,0,,,42.3,0,0
421,2022-01-03 07:00,-3.2,163.3,1.4,0,,,51.7,0,0
421,2022-01-03 08:00,-3.2,0,.3,0,,,47.5,0,0
421,2022-01-03 09:00,-2.4,132,.5,0,,,50.5,0,0
421,2022-01-03 10:00,-.9,151.7,1.2,0,,,48.5,0,0
421,2022-01-03 11:00,-.1,143.6,1.4,0,,,46,0,0
421,2022-01-03 12:00,1.7,180.4,1.3,0,,,33,0,0
421,2022-01-03 13:00,3.1,209.2,1.8,0,,,38.4,0,0
421,2022-01-03 14:00,4.2,263.4,1.4,0,,,41.1,0,0
421,2022-01-03 15:00,4,247.9,2.5,0,,,46.1,0,0
