centroid_lon,centroid_lat,침수된 지역의 평균 지형 고도,침수 시작 날짜,침수 종료 날짜,침수 시작 시간,침수 종료 시간,GU_NAM,배수정보,1시간 누적 강수량(mm),1시간 10분 평균 강수량(mm),1시간 시간당 강수량(mm),2시간 누적 강수량(mm),2시간 10분 평균 강수량(mm),2시간 시간당 강수량(mm),3시간 누적 강수량(mm),3시간 10분 평균 강수량(mm),3시간 시간당 강수량(mm),4시간 누적 강수량(mm),4시간 10분 평균 강수량(mm),4시간 시간당 강수량(mm),5시간 누적 강수량(mm),5시간 10분 평균 강수량(mm),5시간 시간당 강수량(mm),6시간 누적 강수량(mm),6시간 10분 평균 강수량(mm),6시간 시간당 강수량(mm),7시간 누적 강수량(mm),7시간 10분 평균 강수량(mm),7시간 시간당 강수량(mm),8시간 누적 강수량(mm),8시간 10분 평균 강수량(mm),8시간 시간당 강수량(mm),9시간 누적 강수량(mm),9시간 10분 평균 강수량(mm),9시간 시간당 강수량(mm),10시간 누적 강수량(mm),10시간 10분 평균 강수량(mm),10시간 시간당 강수량(mm),11시간 누적 강수량(mm),11시간 10분 평균 강수량(mm),11시간 시간당 강수량(mm),12시간 누적 강수량(mm),12시간 10분 평균 강수량(mm),12시간 시간당 강수량(mm)
127.1512689,37.56154838,27.63,20170702,20170711,2017-07-02 07:00:00,21,강동구,6.0,0.0,0.0,0.0,0.5,0.041666666666666664,0.25,1.5,0.08333333333333333,0.5,1.5,0.0625,0.375,2.0,0.06666666666666667,0.4,15.5,0.4305555555555556,2.5833333333333335,50.5,1.2023809523809523,7.214285714285714,77.5,1.6145833333333333,9.6875,88.0,1.6296296296296295,9.777777777777779,95.0,1.5833333333333333,9.5,116.5,1.7651515151515151,10.590909090909092,116.5,1.6180555555555556,9.708333333333334
127.1246053,37.5339462,18.53,20170702,20170711,2017-07-02 04:00:00,10,강동구,2.0,0.0,0.0,0.0,0.5,0.041666666666666664,0.25,14.0,0.7777777777777778,4.666666666666667,49.0,2.0416666666666665,12.25,76.0,2.533333333333333,15.2,86.5,2.4027777777777777,14.416666666666666,93.5,2.2261904761904763,13.357142857142858,115.0,2.3958333333333335,14.375,115.0,2.1296296296296298,12.777777777777779,115.0,1.9166666666666667,11.5,115.0,1.7424242424242424,10.454545454545455,115.0,1.5972222222222223,9.583333333333334
127.1291287,37.53380754,20.36,20170702,20170711,2017-07-02 06:00:00,12,강동구,2.0,0.5,0.08333333333333333,0.5,1.5,0.125,0.75,1.5,0.08333333333333333,0.5,2.0,0.08333333333333333,0.5,15.5,0.5166666666666667,3.1,50.5,1.4027777777777777,8.416666666666666,77.5,1.8452380952380953,11.071428571428571,88.0,1.8333333333333333,11.0,95.0,1.7592592592592593,10.555555555555555,116.5,1.9416666666666667,11.65,116.5,1.7651515151515151,10.590909090909092,116.5,1.6180555555555556,9.708333333333334
127.1309078,37.54777666,18.48,20170702,20170711,2017-07-02 06:00:00,12,강동구,2.0,0.5,0.08333333333333333,0.5,1.5,0.125,0.75,1.5,0.08333333333333333,0.5,2.0,0.08333333333333333,0.5,15.5,0.5166666666666667,3.1,50.5,1.4027777777777777,8.416666666666666,77.5,1.8452380952380953,11.071428571428571,88.0,1.8333333333333333,11.0,95.0,1.7592592592592593,10.555555555555555,116.5,1.9416666666666667,11.65,116.5,1.7651515151515151,10.590909090909092,116.5,1.6180555555555556,9.708333333333334
127.124325,37.54804413,17.03,20170702,20170711,2017-07-02 06:00:00,12,강동구,2.0,0.5,0.08333333333333333,0.5,1.5,0.125,0.75,1.5,0.08333333333333333,0.5,2.0,0.08333333333333333,0.5,15.5,0.5166666666666667,3.1,50.5,1.4027777777777777,8.416666666666666,77.5,1.8452380952380953,11.071428571428571,88.0,1.8333333333333333,11.0,95.0,1.7592592592592593,10.555555555555555,116.5,1.9416666666666667,11.65,116.5,1.7651515151515151,10.590909090909092,116.5,1.6180555555555556,9.708333333333334
127.1429378,37.53020573,23.58,20170702,20170711,2017-07-02 06:00:00,12,강동구,4.0,0.5,0.08333333333333333,0.5,1.5,0.125,0.75,1.5,0.08333333333333333,0.5,2.0,0.08333333333333333,0.5,15.5,0.5166666666666667,3.1,50.5,1.4027777777777777,8.416666666666666,77.5,1.8452380952380953,11.071428571428571,88.0,1.8333333333333333,11.0,95.0,1.7592592592592593,10.555555555555555,116.5,1.9416666666666667,11.65,116.5,1.7651515151515151,10.590909090909092,116.5,1.6180555555555556,9.708333333333334
127.1429378,37.53020573,23.58,20170702,20170711,2017-07-02 06:00:00,12,강동구,4.0,0.5,0.08333333333333333,0.5,1.5,0.125,0.75,1.5,0.08333333333333333,0.5,2.0,0.08333333333333333,0.5,15.5,0.5166666666666667,3.1,50.5,1.4027777777777777,8.416666666666666,77.5,1.8452380952380953,11.071428571428571,88.0,1.8333333333333333,11.0,95.0,1.7592592592592593,10.555555555555555,116.5,1.9416666666666667,11.65,116.5,1.7651515151515151,10.590909090909092,116.5,1.6180555555555556,9.708333333333334
127.0316383,37.62410898,76.63,20180826,20180901,2018-08-26 01:00:00,5,강북구,1.0,0.5,0.08333333333333333,0.5,0.5,0.041666666666666664,0.25,0.5,0.027777777777777776,0.16666666666666666,0.5,0.020833333333333332,0.125,0.5,0.016666666666666666,0.1,0.5,0.013888888888888888,0.08333333333333333,0.5,0.011904761904761904,0.07142857142857142,0.5,0.010416666666666666,0.0625,0.5,0.009259259259259259,0.05555555555555555,0.5,0.008333333333333333,0.05,0.5,0.007575757575757576,0.045454545454545456,0.5,0.006944444444444444,0.041666666666666664
127.0315873,37.62428808,76.63,20180826,20180901,2018-08-26 01:00:00,5,강북구,1.0,0.5,0.08333333333333333,0.5,0.5,0.041666666666666664,0.25,0.5,0.027777777777777776,0.16666666666666666,0.5,0.020833333333333332,0.125,0.5,0.016666666666666666,0.1,0.5,0.013888888888888888,0.08333333333333333,0.5,0.011904761904761904,0.07142857142857142,0.5,0.010416666666666666,0.0625,0.5,0.009259259259259259,0.05555555555555555,0.5,0.008333333333333333,0.05,0.5,0.007575757575757576,0.045454545454545456,0.5,0.006944444444444444,0.041666666666666664
127.0241205,37.6394306,32.2,20180826,20180901,2018-08-26 01:00:00,5,강북구,5.0,0.5,0.08333333333333333,0.5,0.5,0.041666666666666664,0.25,0.5,0.027777777777777776,0.16666666666666666,0.5,0.020833333333333332,0.125,0.5,0.016666666666666666,0.1,0.5,0.013888888888888888,0.08333333333333333,0.5,0.011904761904761904,0.07142857142857142,0.5,0.010416666666666666,0.0625,0.5,0.009259259259259259,0.05555555555555555,0.5,0.008333333333333333,0.05,0.5,0.007575757575757576,0.045454545454545456,0.5,0.006944444444444444,0.041666666666666664
