F_DISA_NM,F_AVR_HGT,F_AREA,ADM_CD,F_SAT_YMD,F_END_YMD,F_SAT_TM,F_END_TM,F_RSN_DTL,F_ZONE_NM,INV_YR,F_YR,GU_NAM,F_SHIM,geometry
2020년 7.28~8.11 호우,73.84,140.66,1135010500,20200804,20200811,18,24,침수,노원구 상계동산152-24,2020,2020,노원구,0.5,"POLYGON ((962807.4496704167 1963784.423856289, 962806.2681213942 1963775.0246915808, 962806.469727406 1963761.2408260035, 962806.794042491 1963743.2748874922, 962805.7117793733 1963740.8925440498, 962782.7247237393 1963727.7817661318, 962757.3987616991 1963711.7025494694, 962724.6148951565 1963690.78782688, 962721.8642000966 1963689.7098649815, 962718.6761614669 1963688.5362654338, 962717.3936398654 1963688.3471586073, 962712.6952073119 1963687.9323063234, 962709.4505066514 1963688.6982756844, 962690.0853375961 1963694.6240417098, 962688.8815173635 1963694.7603933706, 962679.8406866218 1963694.7144991134, 962670.9303349473 1963694.579944309, 962667.3794911568 1963681.0089556742, 962667.7071140228 1963680.7733020224, 962677.8462700495 1963678.5142247854, 962680.9893841806 1963675.3746920547, 962686.7503728537 1963669.3893095017, 962691.8733742407 1963664.1130526927, 962692.5378988141 1963663.3188180097, 962693.2245064408 1963661.789743362, 962694.107217706 1963659.1660390017, 962697.0711591619 1963651.469180375, 962703.747760384 1963640.5877768612, 962657.9003527139 1963601.3474542545, 962631.8084062426 1963578.8247389493, 962663.9616738303 1963554.6478478876, 962585.4865915627 1963559.4034517298, 962596.3243383508 1963601.6748488548, 962630.2590456264 1963720.4035261292, 962679.9720174947 1963767.9191578676, 962807.4496704167 1963784.423856289))"
2020년 7.28~8.11 호우,83.73,65.48,1135010500,20200804,20200811,22,24,침수,노원구 상계동71-254,2020,2020,노원구,0.5,"POLYGON ((963374.356759423 1963535.1987047498, 963373.6967064941 1963533.8257349473, 963369.4285464128 1963534.6201360885, 963367.2436396015 1963538.0544579076, 963367.3406976967 1963539.5763658525, 963374.356759423 1963535.1987047498))"
2020년 7.28~8.11 호우,156.19,131.0,1135010500,20200804,20200811,22,24,침수,노원구 상계동9-1,2020,2020,노원구,0.5,"POLYGON ((963802.4597027528 1965053.8993711413, 963823.4424892615 1965064.562692621, 963827.0760852913 1965063.4297892572, 963849.5550448449 1965025.740469383, 963851.7591084582 1965013.316449911, 963852.7450255833 1964999.4624533535, 963842.4398215042 1964992.8637815267, 963834.431757233 1965007.31791179, 963826.3224700185 1965011.949302189, 963819.6648598813 1965013.6160922048, 963815.0522668471 1965017.311233419, 963811.6615061811 1965021.061852945, 963811.6745466957 1965031.5957929618, 963807.9980198273 1965042.5122183487, 963802.4597027528 1965053.8993711413))"
2020년 7.28~8.11 호우,118.87,92.67,1135010500,20200804,20200811,22,24,침수,노원구 상계동58-50,2020,2020,노원구,0.5,"POLYGON ((962550.8438732007 1963777.3404477746, 962554.362445588 1963790.4817715902, 962560.4646752131 1963799.4179398231, 962565.1406270191 1963800.4926620934, 962573.8201337509 1963797.0677874472, 962574.535453487 1963795.2986504063, 962568.258252444 1963786.3554156434, 962562.2096843132 1963768.5233200158, 962558.2774156386 1963767.065786354, 962551.0829715794 1963770.2318592547, 962550.8438732007 1963777.3404477746))"
2020년 8.14 호우,35.19,70.0,1135010600,20200814,20200814,16,22,침수,노원구 중계동141-85,2020,2020,노원구,0.5,"POLYGON ((962389.6644204196 1962431.2056681248, 962392.6665148594 1962434.8213398275, 962407.2931400483 1962424.6933817398, 962404.1409583777 1962420.8625893418, 962389.6644204196 1962431.2056681248))"
2020년 7.28~8.11 호우,18.85,59.0,1135010200,20200811,20200811,04,24,침수,노원구 월계동51-13,2020,2020,노원구,0.5,"POLYGON ((961461.5775608575 1957366.7858011893, 961468.0934865472 1957366.4803023501, 961468.5408598173 1957366.9587457883, 961469.4072236996 1957369.1593154531, 961471.370227999 1957369.1109058263, 961470.1736229213 1957360.0646664246, 961469.2189503631 1957359.493952568, 961469.3623359929 1957358.0707264196, 961461.0139664795 1957356.468677236, 961461.5775608575 1957366.7858011893))"
2020년 7.28~8.11 호우,37.64,122.47,1132010600,20200728,20200811,9,15,기타,도봉구 방학동608-50,2020,2020,도봉구,0.3,"POLYGON ((958562.745320165 1963334.7487732358, 958563.4768873631 1963335.0947531853, 958568.0339120487 1963325.4541135365, 958563.3238401003 1963323.2299946297, 958561.4097170613 1963322.3205145253, 958556.9963797568 1963323.2636355076, 958556.5171037852 1963323.3661463463, 958551.3809056834 1963329.3612268507, 958562.745320165 1963334.7487732358))"
2020년 7.28~8.11 호우,34.13,188.11,1132010600,20200728,20200811,9,15,침수,도봉구 방학동619-4,2020,2020,도봉구,0.3,"POLYGON ((958776.1288152327 1963122.8729745615, 958785.7257360824 1963111.686111326, 958776.1353019298 1963103.4102072406, 958766.408114211 1963114.537785457, 958771.5094578104 1963118.9090222963, 958776.1288152327 1963122.8729745615))"
2020년 7.28~8.11 호우,33.72,224.53,1132010600,20200728,20200811,9,15,침수,도봉구 방학동630-2,2020,2020,도봉구,0.3,"POLYGON ((958810.7923156666 1963054.5141466723, 958818.3449969837 1963046.1471034826, 958814.29806836 1963042.679921138, 958804.2561683793 1963034.0965324524, 958796.3283690409 1963043.355237715, 958810.1864399482 1963055.2470952244, 958810.7923156666 1963054.5141466723))"
2020년 7.28~8.11 호우,25.85,2662.64,1132010800,20200728,20200811,9,15,침수,도봉구 도봉동611,2020,2020,도봉구,0.3,"POLYGON ((959561.952941317 1963548.4185948598, 959561.6635302689 1963527.8278400274, 959561.4710858627 1963514.1939659135, 959561.0219788335 1963482.3682649767, 959524.1881312603 1963482.8140099891, 959520.6984633984 1963486.3912322617, 959521.3015956123 1963545.305978795, 959524.868822359 1963548.795699347, 959561.952941317 1963548.4185948598))"
2020년 7.28~8.11 호우,34.17,291.96,1132010500,20200728,20200811,9,15,침수,도봉구 쌍문동217,2020,2020,도봉구,0.3,"POLYGON ((958786.2008492756 1962282.567386161, 958774.534577599 1962282.4494656245, 958769.3627401324 1962291.143720638, 958766.971029231 1962294.4152170927, 958764.9238113037 1962296.6752593638, 958762.0984473653 1962299.229329674, 958781.2181046263 1962300.5071833543, 958785.9145311587 1962296.4037422107, 958786.2008492756 1962282.567386161))"
2020년 7.28~8.11 호우,23.25,335.0,1123010400,20200728,20200811,17,23,기타,동대문구 전농동126-28,2020,2020,동대문,0.3,"POLYGON ((960318.5805621601 1953874.833239433, 960324.8420913223 1953869.3470582438, 960326.2709488444 1953868.2908694143, 960324.9526725139 1953865.3199815725, 960327.6747698789 1953864.2119471612, 960327.836826412 1953862.1618557835, 960329.6043892223 1953861.8275982258, 960329.5177810321 1953860.9533858493, 960327.0542006831 1953848.8020208452, 960314.9786957263 1953851.4331354562, 960307.332922484 1953854.3266370124, 960312.6339261656 1953864.1208241028, 960318.5805621601 1953874.833239433))"
2020년 7.28~8.11 호우,43.83,109.0,1123010900,20200728,20200811,8,14,침수,동대문구 휘경동286-359,2020,2020,동대문,0.5,"POLYGON ((961376.2375756085 1954130.5993410854, 961387.0577017365 1954131.766461362, 961387.2031912227 1954131.3038630332, 961388.3239036322 1954122.287305523, 961377.573176352 1954121.011857473, 961376.2375756085 1954130.5993410854))"
2020년 7.28~8.11 호우,50.09,116.0,1123010900,20200728,20200811,12,18,기타,동대문구 휘경동294-187,2020,2020,동대문,0.3,"POLYGON ((961220.7161357382 1954085.4049494618, 961228.4112406811 1954088.60689493, 961229.6621219359 1954088.296371215, 961230.935683283 1954087.7388199875, 961231.7347137856 1954078.194167278, 961230.6510844824 1954077.6221349635, 961222.356938635 1954073.2398133408, 961220.7161357382 1954085.4049494618))"
2020년 7.28~8.11 호우,12.98,256.2,1123010600,20200728,20200811,23,5,침수,동대문구 장안동437-5,2020,2020,동대문,0.3,"POLYGON ((961886.7463700642 1951861.1421935807, 961880.6773147081 1951848.4511784245, 961864.0897099706 1951856.3942036368, 961870.6424056392 1951868.6748072675, 961870.7989550588 1951868.6010043805, 961886.7463700642 1951861.1421935807))"
2020년 7.28~8.11 호우,13.18,734.6,1123010600,20200728,20200811,13,19,침수(개인하수도역류),동대문구 장안동447-2,2020,2020,동대문,0.5,"POLYGON ((961886.2186585901 1951821.9597550351, 961887.8830021129 1951817.2427007915, 961875.8924613893 1951792.1667714193, 961854.5955160465 1951802.7267983798, 961857.7522882187 1951809.3155660187, 961862.7154426964 1951819.6853243, 961867.9817631491 1951830.673240942, 961886.2186585901 1951821.9597550351))"
2020년 7.28~8.11 호우,14.99,158.3,1123010500,20200728,20200811,23,5,침수,동대문구 답십리동485-40,2020,2020,동대문,0.5,"POLYGON ((960654.8354599164 1952206.1744721471, 960658.1163417099 1952202.9922564186, 960664.4801718149 1952196.8148051887, 960662.7681233666 1952194.988575918, 960658.2502508153 1952190.1703592069, 960645.5311068421 1952202.6231797966, 960651.7745027274 1952209.1695910762, 960654.8354599164 1952206.1744721471))"
2020년 7.28~8.11 호우,14.01,345.0,1123010500,20200728,20200811,3,9,침수,동대문구 답십리동496-3,2020,2020,동대문,0.5,"POLYGON ((960410.8801370685 1952176.0503474579, 960412.7720735423 1952178.0565551533, 960420.6454414191 1952186.408641275, 960429.405981513 1952178.0842756706, 960438.2162840416 1952169.7186616284, 960428.4650910747 1952159.3822847283, 960419.6438246056 1952167.7539546671, 960410.8801370685 1952176.0503474579))"
2020년 8.14 호우,25.6,175.03,1144010300,20200814,20200814,6,14,침수(도로범람유입),마포구 신공덕동12-1,2020,2020,마포구,0.2,"POLYGON ((951902.8978824501 1949696.100308416, 951902.7820765267 1949696.1289121734, 951901.8244526549 1949696.5108515604, 951900.3925405378 1949696.9942693948, 951898.5913103345 1949698.1464013674, 951891.899533351 1949701.4976676777, 951897.5049206035 1949711.384319521, 951898.9416445678 1949713.6938541501, 951901.044455797 1949712.672074884, 951907.4008106539 1949707.5212460868, 951908.1358341164 1949706.633672371, 951910.0778052931 1949705.2538772242, 951910.482055428 1949704.9518436394, 951902.8978824501 1949696.100308416))"
2020년 8.14 호우,16.1,50.05,1144011300,20200814,20200814,8,9,침수,마포구 구수동77,2020,2020,마포구,0.25,"POLYGON ((949889.2490704313 1949673.893425217, 949887.1661981562 1949674.340309994, 949881.7153780068 1949675.5087955333, 949876.7673903152 1949677.434338752, 949876.4851689367 1949677.5617892668, 949877.8039583619 1949678.9322960533, 949880.5644802741 1949682.8022469012, 949891.4021958124 1949683.1146511023, 949890.0458255335 1949676.1643732723, 949889.4023220433 1949674.3284541494, 949889.2490704313 1949673.893425217))"
2020년 7.28~8.11 호우,20.55,30.75,1144012600,20200728,20200811,5,6,침수,마포구 중동109,2020,2020,마포구,0.2,"POLYGON ((947903.4664239187 1952486.5447571718, 947905.8839167788 1952491.8899948136, 947919.0065588917 1952485.7445759505, 947923.973108808 1952483.7369447758, 947924.7419789328 1952483.3879906184, 947927.5148850473 1952482.051758199, 947942.2677138761 1952475.2989080083, 947955.7361332794 1952469.3235930903, 947954.2660697731 1952465.4427981197, 947918.9773502238 1952480.23872198, 947918.8177625486 1952480.3055447375, 947913.2063684198 1952481.5448758819, 947908.7790300543 1952483.817549665, 947903.4664239187 1952486.5447571718))"
2020년 8.14 호우,18.05,62.94,1144010800,20200814,20200814,6,14,침수(저지대침수),마포구 대흥동36-31,2020,2020,마포구,0.2,"POLYGON ((950852.2706413239 1950165.4523517606, 950858.9977960662 1950161.6080704762, 950855.3173523693 1950153.730466748, 950849.5155920498 1950156.7701328292, 950852.2706413239 1950165.4523517606))"
2020년 7.28~8.11 호우,54.43,69.12,1141010200,20200728,20200811,21,9,침수,서대문구 충정로3가31-67,2020,2020,서대문,0.1,"POLYGON ((952440.1555003412 1951494.3196879707, 952443.5043272343 1951471.336343256, 952441.4653463877 1951471.576073872, 952422.9402126876 1951488.176281207, 952426.4113365066 1951492.7741788705, 952440.1555003412 1951494.3196879707))"
2020년 7.28~8.11 호우,65.35,46.28,1141011000,20200728,20200811,21,9,침수,서대문구 북아현동1-276,2020,2020,서대문,0.1,"POLYGON ((951768.0604684752 1951857.0990265724, 951767.109195164 1951850.951322972, 951767.0285136533 1951850.6288690341, 951761.5008306671 1951851.626835206, 951755.5702451936 1951852.8038737874, 951756.7571496245 1951859.2752087708, 951768.0604684752 1951857.0990265724))"
2020년 7.28~8.11 호우,65.35,159.04,1141011000,20200728,20200811,21,9,침수,서대문구 북아현동1-93,2020,2020,서대문,0.1,"POLYGON ((951810.501415004 1951849.0837567206, 951815.0779787742 1951873.816424377, 951815.8604073233 1951874.7049475552, 951838.389776495 1951870.673875573, 951833.2448382907 1951844.7006783017, 951823.2356207044 1951846.608091716, 951810.501415004 1951849.0837567206))"
2020년 7.28~8.11 호우,73.12,51.0,1141011000,20200728,20200811,21,9,침수,서대문구 북아현동3-372,2020,2020,서대문,0.1,"POLYGON ((952193.976907328 1951780.642011643, 952198.0640195339 1951780.9452137216, 952202.0385006045 1951776.975578366, 952194.6612290496 1951767.74610356, 952186.9791041403 1951771.338550366, 952186.3350145858 1951772.9733692745, 952187.3345858081 1951776.3538273547, 952188.4835430502 1951777.367359616, 952191.8829944667 1951778.8177903856, 952193.976907328 1951780.642011643))"
2020년 7.28~8.11 호우,67.7,41.94,1141011000,20200728,20200811,21,9,침수,서대문구 북아현동3-442,2020,2020,서대문,0.1,"POLYGON ((952173.6482270015 1951642.8523402445, 952174.0294864608 1951644.2468065969, 952177.1959465544 1951643.7981696161, 952176.7114614297 1951635.3808229305, 952173.8413883498 1951635.9228530477, 952173.6482270015 1951642.8523402445))"
2020년 7.28~8.11 호우,36.08,75.46,1129010900,20200803,20200803,5,12,침수,성북구 동소문동6가87-1,2020,2020,성북구,0.1,"POLYGON ((957174.339408368 1955012.8380420555, 957176.6903265852 1955011.292134034, 957174.1081266967 1955003.7286554922, 957173.42143557 1955001.6670677403, 957171.2549482901 1954995.3969012257, 957168.0068865991 1954996.6646760849, 957161.2853500547 1954999.483317485, 957162.5356224856 1955002.6355075557, 957164.0356962034 1955006.5210987083, 957165.227712792 1955009.4326874933, 957165.6981540169 1955010.6787265518, 957172.833185332 1955008.7355642093, 957174.339408368 1955012.8380420555))"
2020년 7.28~8.11 호우,57.35,63.58,1129013300,20200805,20200806,22,11,침수,성북구 정릉동685-4,2020,2020,성북구,0.1,"POLYGON ((956421.6978658423 1956861.4058042103, 956427.844898296 1956861.276201387, 956429.1199985151 1956859.3131564725, 956428.7449310009 1956850.237514291, 956418.2687602689 1956850.2271637518, 956418.8360925579 1956861.436993378, 956421.6978658423 1956861.4058042103))"
2020년 7.28~8.11 호우,24.39,49.6,1111016400,20200728,20200811,18,24,침수,종로구 종로6가170,2020,2020,종로구,0.3,"POLYGON ((956464.9100776719 1952682.338368554, 956464.1538777819 1952680.175184051, 956462.4922195977 1952678.8045110104, 956462.7059140272 1952677.442881888, 956461.2565106538 1952675.7581988308, 956458.3397193117 1952674.8400191045, 956455.9568431873 1952681.8570629917, 956464.7617233759 1952684.8992061585, 956464.9100776719 1952682.338368554))"
2020년 8.14 호우,47.52,193.7,1111014800,20200814,20200814,17,23,침수,종로구 계동77-1,2020,2020,종로구,0.3,"POLYGON ((954668.2699022442 1953616.3447911832, 954671.8514687744 1953615.5700655435, 954672.9933207416 1953615.8099159454, 954676.1617594394 1953614.9824027237, 954680.0215252488 1953613.6993879008, 954681.9681580615 1953613.577100024, 954681.6529324856 1953603.7164112777, 954674.0780613193 1953605.4749708725, 954665.7717539811 1953607.4773231102, 954663.7011442557 1953607.9721316332, 954661.712706404 1953608.6934204272, 954662.3097563174 1953616.0915219148, 954662.5269860061 1953616.3382777928, 954663.3335755643 1953616.3170041542, 954664.030323466 1953616.8830968735, 954668.2699022442 1953616.3447911832))"
2020년 7.28~8.11 호우,43.5,66.1,1111011300,20200728,20200811,18,24,침수,종로구 필운동138,2020,2020,종로구,0.3,"POLYGON ((953112.659380993 1953140.6338944815, 953112.1721049274 1953141.8670279041, 953111.3102492451 1953145.7911612235, 953111.1590876414 1953148.011148269, 953112.3358346513 1953148.0448901276, 953112.4796112977 1953148.954792863, 953118.6453079183 1953147.2516930285, 953118.0039119988 1953143.7413864713, 953117.1349580371 1953138.9797472483, 953116.001952093 1953134.378450621, 953115.3445492652 1953135.010707675, 953114.5364422324 1953135.8766787816, 953112.659380993 1953140.6338944815))"
2020년 8.22~8.31 호우,23.28,180.4,1174010500,20200822,20200831,13,19,침수,강동구 길동 340-3,2020,2020,강동구,0.3,"POLYGON ((968635.7524049367 1949304.8533768414, 968650.90128984 1949300.2717950086, 968647.5668044393 1949289.3796623636, 968632.436842708 1949293.9481487079, 968635.7524049367 1949304.8533768414))"
2020년 8.22~8.31 호우,17.72,93.0,1174010900,20200822,20200831,14,20,침수,강동구 천호동 459-44,2020,2020,강동구,0.5,"POLYGON ((966600.7768350196 1949043.7514716843, 966607.0367478604 1949050.2198044418, 966614.363588858 1949043.1746390602, 966608.5860460659 1949037.3764923161, 966607.9365080011 1949036.8511375235, 966600.7768350196 1949043.7514716843))"
2020년 8.22~8.31 호우,25.87,231.0,1174010900,20200822,20200831,14,20,침수,강동구 천호동 397-63,2020,2020,강동구,0.3,"POLYGON ((967421.6388139983 1949291.4694935333, 967426.4424688967 1949292.3166933956, 967427.7153465317 1949290.1227824334, 967433.5570741639 1949278.4252782124, 967434.6584762187 1949276.1293157504, 967428.6284841936 1949270.2275541124, 967414.97677585 1949280.6109809326, 967420.3975706416 1949289.2599220334, 967421.6388139983 1949291.4694935333))"
2020년 8.22~8.31 호우,18.85,168.0,1174010800,20200822,20200831,16,22,침수,강동구 성내동 379-63,2020,2020,강동구,0.5,"POLYGON ((967951.0244915563 1948296.241392421, 967960.5722639075 1948292.3622535672, 967955.4146950773 1948279.05770043, 967954.6850836133 1948277.1922840872, 967945.1313083053 1948281.070455012, 967948.746278645 1948290.3787194304, 967951.0244915563 1948296.241392421))"
2020년 8.22~8.31 호우,26.99,159.7,1174010600,20200822,20200831,14,20,침수,강동구 둔촌동 430-1,2020,2020,강동구,0.5,"POLYGON ((968239.7801276699 1948181.8271956125, 968248.5338037137 1948179.381719665, 968243.3740031968 1948171.5021008262, 968227.6199663619 1948175.8249740703, 968230.1440921095 1948184.5182558796, 968239.7801276699 1948181.8271956125))"
2020년 8.22~8.31 호우,24.19,137.6,1174010600,20200822,20200831,12,18,침수,강동구 둔촌동 427-1,2020,2020,강동구,0.5,"POLYGON ((968179.9809059877 1948196.5086343442, 968188.5394156682 1948193.0745720891, 968185.8480950983 1948185.6526887768, 968171.4016816573 1948190.3764754317, 968171.9788280838 1948199.3099889767, 968179.9809059877 1948196.5086343442))"
